order_book_id,2022/12/31,2023/6/30,2023/12/31,2024/6/30,2024/12/31,2025/6/30
1060,78.6611,93.2111,93.6697,85.2701,88.4713,87.4582
1067,12.4301,12.155,9.5121,10.2465,8.8612,15.7951
1068,41.219,83.8582,73.0301,68.5398,77.0988,84.8053
1069,67.5106,43.0142,39.2944,49.9216,66.0746,78.126
1070,66.918,75.8901,60.1319,69.2022,74.4549,72.2861
1071,28.592,43.7421,50.0879,56.7345,39.3403,46.9389
1072,59.723,65.6596,80.8985,78.8599,69.5219,73.7857
1074,50.5789,51.5473,51.8739,45.478,50.1101,43.881
1075,74.9136,86.2492,82.8845,87.6686,83.1492,88.7226
1076,74.455,67.5178,60.913,76.5045,75.7536,66.7322
1088,68.9377,63.8164,63.3742,64.2539,57.1603,59.7481
1097,76.8087,48.1489,84.5839,87.0674,81.1327,59.5954
1102,71.3844,62.825,69.9033,48.5934,63.1924,49.1819
1103,30.9553,56.385,32.246,66.8617,69.6322,54.4821
1104,59.4392,58.3364,76.2949,65.4287,40.5272,29.3551
1105,93.2472,62.0248,85.1316,90.0418,87.3126,84.8241
1106,64.5664,57.4692,47.5422,55.1231,56.9782,51.534
1110,5.2801,5.9312,29.0063,33.4638,25.1184,25.1893
1111,5.2801,5.9312,29.0063,33.4638,25.1184,25.1893
1112,73.4195,74.345,73.1034,57.3999,51.7891,45.8991
1115,14.6461,14.0312,4.7074,6.2716,2.1213,2.5438
1116,14.6461,14.0312,4.7074,6.2716,2.1213,2.5438
1117,38.2116,39.4582,54.6196,54.6113,49.5597,51.2969
1120,66.1192,44.7405,40.5898,32.2063,31.6098,45.2171
1121,66.1192,44.7405,40.5898,32.2063,31.6098,45.2171
1122,9.014,5.2227,10.9428,18.5879,21.4648,19.8126
1123,9.014,5.2227,10.9428,18.5879,21.4648,19.8126
1125,81.2156,68.0971,67.947,65.1723,66.6695,60.6516
1126,79.4777,73.754,67.5035,64.2559,80.4405,60.0995
1128,77.0138,60.6994,85.5895,75.3109,64.6588,89.5333
1135,53.1888,41.4635,90.2329,81.1742,77.8866,54.6196
1136,8.8469,10.5087,13.4836,11.3606,10.5902,11.3405
1139,8.0834,7.7938,8.1699,5.5147,0,0
1140,66.1211,49.9491,37.1457,29.0329,49.0669,43.0864
1143,53.9976,60.3704,74.6721,67.5288,64.9948,57.2706
1144,67.4832,38.9848,67.3541,64.1929,64.8341,87.9648
1146,10.7236,0,0,14.1143,49.3817,49.9875
1147,10.7236,0,0,14.1143,49.3817,49.9875
1148,19.2862,47.2166,31.2211,55.5012,13.2841,39.3467
1150,73.0387,73.143,71.3313,63.7238,75.4528,54.4763
1152,62.0956,65.5066,58.5514,55.2748,45.2567,49.8483
1154,52.6828,59.0643,45.5203,51.5324,51.0271,46.7926
1156,77.0367,86.3325,82.5353,88.9343,88.7223,88.3307
1157,13.2874,14.8271,11.1033,11.3347,11.1182,8.9751
1158,69.7436,66.3627,58.5,53.3067,59.8506,58.6011
1162,35.1335,54.8924,31.7938,43.3736,34.5821,40.2598
1163,56.7197,74.8006,74.9085,77.9839,81.2778,64.9575
1164,6.5618,9.5959,4.4484,4.4312,1.1045,2.3148
1165,6.5618,9.5959,4.4484,4.4312,1.1045,2.3148
1166,75.8188,84.7446,82.0921,82.555,89.0763,78.6694
1167,59.142,45.4913,59.7453,58.5678,36.6666,51.4832
1170,67.7283,47.8686,48.0715,84.6397,75.5205,70.7539
1171,62.6314,65.9713,65.0799,67.7198,75.2392,68.6774
1172,5.834,33.0381,62.0082,61.8013,59.3073,52.7152
1173,75.3604,88.3452,81.4443,91.0362,92.6018,83.2
1174,75.3604,88.3452,81.4443,91.0362,92.6018,83.2
1178,30.062,56.0283,32.6373,67.2083,55.1627,53.2746
1179,74.8478,67.9183,63.4565,59.3438,50.1309,60.4523
1181,49.8314,52.7551,44.294,51.8444,69.7494,61.4268
1182,30.9428,31.546,30.758,24.6509,30.9643,27.2637
1183,14.0798,10.987,17.1846,15.9895,17.7189,17.5947
1184,78.5795,81.107,86.012,79.8336,86.1011,56.4649
1185,9.6329,0,0,0,0,0
1186,52.5844,52.1409,47.7059,55.6853,61.169,59.2635
1188,69.9192,71.8396,70.6162,72.969,73.9085,73.3034
1189,19.5377,16.4273,16.6503,9.9408,9.2503,17.0458
1190,8.4932,7.0818,13.6668,16.9365,0,0
1191,8.4932,7.0818,13.6668,16.9365,0,0
1192,76.2654,39.8899,45.7433,49.5914,55.034,55.3121
1193,79.4365,66.1048,75.7109,66.0955,54.7681,52.3138
1194,15.3163,23.7202,50.442,80.2342,72.99,76.3309
1195,76.6194,52.1941,48.9352,48.8228,47.8412,53.8515
